,Index,Score
1,tested_positive.1,148069.6582779063
2,tested_positive,69603.87259124119
3,hh_cmnty_cli,9235.492094456977
4,hh_cmnty_cli.1,9209.019557848475
5,hh_cmnty_cli.2,9097.375171712803
6,nohh_cmnty_cli,8395.421299631922
7,nohh_cmnty_cli.1,8343.255927399416
8,nohh_cmnty_cli.2,8208.17643470945
9,cli,6388.906849111037
10,cli.1,6374.547999947984
11,cli.2,6250.008701728237
12,ili,5998.922880195268
13,ili.1,5937.588576440102
14,ili.2,5796.947671786436
15,worried_finances.2,833.6131911686533
16,worried_finances.1,811.9164600500886
17,worried_finances,788.0769308191117
18,public_transit.2,686.7365386537898
19,public_transit.1,681.5629021869446
20,public_transit,678.8347885700754
21,shop.2,561.7640507110676
22,shop.1,553.8767274249054
23,shop,546.5533954881586
24,worried_become_ill.2,208.12264707185167
25,worried_become_ill.1,203.4730716078645
26,worried_become_ill,199.19546145507314
27,spent_time.2,193.92668937714245
28,spent_time.1,188.7637509695261
29,spent_time,183.14522896334617
30,anxious,83.53223178159382
31,anxious.1,75.07352226126196
32,restaurant.2,71.04775441108386
33,restaurant.1,70.08674289038446
34,restaurant,69.02759255284879
35,anxious.2,64.58774389206663
36,travel_outside_state.2,29.42480819743903
37,travel_outside_state.1,27.477274108636244
38,travel_outside_state,25.78825130784919
39,felt_isolated,18.345728066003232
40,felt_isolated.1,18.05009820634005
41,felt_isolated.2,17.89572043169193
42,wearing_mask,13.1068621984966
43,wearing_mask.1,11.660814764175129
44,large_event.2,10.995323346876614
45,wearing_mask.2,10.423543718194532
46,large_event.1,9.13166852453457
47,large_event,7.4492272309558265
48,work_outside_home.2,4.174404477477867
49,work_outside_home.1,3.887156165574951
50,depressed,3.837878870891329
51,work_outside_home,3.2835125008900166
52,depressed.1,2.9679706898145986
53,depressed.2,2.3624924048341334
